1000.00000000,t1MTyhPvb5m8b6oYofDGf5dxZRi8vzWhvhw
1000.00000000,t1et4fBnLYnxDqoheiRnw4Br9RkdctwHT3U
1000.00000000,t1fDR4D6WaQRc3XKYoq48k8uxd2ztF7f81E
1000.00100000,t1LRHgJhCpJSdayhLqAEoKPLJjPW8LZXAMi
1000.00100000,t1PbZTTnxRBWZXuQXyePkAEjmD9MuBHtd3g
1000.00100000,t1Qk7sw7KoQAsnxCgKggBFQ7sdmbXDTzq9k
1000.00100000,t1RHcm2J6bHFpLAsaBCVJfJyuQeSKggBKrq
1000.00100000,t1WRCWCcsW2DUvcVsjvtusPYWuN9GUJJ6vM
1000.00100000,t1bdvrwgT7VERwQ18Yvy5KRT41Q8Y5uaw9t
1000.00100000,t1dNhK7Ri32SKHTtoEWhB5SCqsgsFHZh3RE
1000.00100000,t1g8DYxMwQKhnYrbsTeyYdKZmjwXZyb3Rsp
1000.2,t1J5UHtKy92wzbqngmMbTohMqtCjN5BtACV
1000.76091436,t1ZJ6bzmN3xKmdXwpvmPUxYtCkDupTKKARd
1001.6549507,t1MiUr3W1LjVbHsxy9BLJib2uA2kwTttoTJ
1006.949,t1L1A2tvopa1YKJeZR71fs2Yvq6GPTXPvNB
1007.79444591,t1XvpBvPGLrKJaQM5L9KuX8RizFUYa5BzTq
1012.50151866,t1JFV4riQyJbtU8sxJ2oNYZWHoYrZnkHPae
1016.93,t1cYdKJArYBpDmsHNipWqvPSxJk3gwxBuf5
1018.15399501,t1LCSTEWxpxR55MH55yu4MXsbHSzDTmJZKH
1019.22332822,t1QiKKz7FnWvYeLpvJtRFf7MZqcKUWgZMhh
1019.31555935,t1S6zcm1DvRgEmpTA8sy1Ud481XhcQVvzNK
1020.58465658,t1L4uVVd7arQBMYvHfudJAPEUXoRgKdg1nh
1023.41124938,t1We1mry87rN5h9SCn9Zf7WC3sYK4rUjn7L
1023.52697497,t1N8zHmbzZMBBJW66n6K5hE69knkqYcKT5N
1026.76161487,t1h3NVq6kyUnPRMoGyjFN9rJvdaMkzzwcum
1027,t1JTXxWyBrxdWNTaNa5gYPPfpJkhqESvyov
1032.22374962,t1Kam4qmktkhvPYMEoigaMXSjtVP2NUtL6n
1032.84202347,t1aXzXQxGnZyD7VURXRuxmuLgMDGXigFX4L
